A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
old woman looking,look.04,to meet men between,,Affirmative,I 'm a 24 year old woman looking to meet men between the ages of 25 and 35 . 
old woman looking,meet.01,men between,,Affirmative,I 'm a 24 year old woman looking to meet men between the ages of 25 and 35 . 
old woman looking,look.04,to meet men between,,Affirmative,I 'm a 28 year old woman looking to meet men between the ages of 25 and 38 . 
old woman looking,meet.01,men between,,Affirmative,I 'm a 28 year old woman looking to meet men between the ages of 25 and 38 . 
old woman looking,look.04,to meet men between,,Affirmative,I 'm a 19 year old woman looking to meet men between the ages of 19 and 30 . 
old woman looking,meet.01,men between,,Affirmative,I 'm a 19 year old woman looking to meet men between the ages of 19 and 30 . 
old woman looking,look.04,to meet men between,,Affirmative,I 'm a 39 year old woman looking to meet men between the ages of 35 and 55 . 
old woman looking,meet.01,men between,,Affirmative,I 'm a 39 year old woman looking to meet men between the ages of 35 and 55 . 
old woman looking,look.04,to meet men between,,Affirmative,I 'm a 45 year old woman looking to meet men between the ages of 43 and 50 . 
old woman looking,meet.01,men between,,Affirmative,I 'm a 45 year old woman looking to meet men between the ages of 43 and 50 . 
old woman looking,look.04,to meet men between,,Affirmative,I 'm a 22 year old woman looking to meet men between the ages of 25 and 37 . 
old woman looking,meet.01,men between,,Affirmative,I 'm a 22 year old woman looking to meet men between the ages of 25 and 37 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 58 year old man looking to meet women between the ages of 45 and 63 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 58 year old man looking to meet women between the ages of 45 and 63 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 48 year old man looking to meet women between the ages of 40 and 45 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 48 year old man looking to meet women between the ages of 40 and 45 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 37 year old man looking to meet women between the ages of 26 and 40 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 37 year old man looking to meet women between the ages of 26 and 40 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 46 year old man looking to meet women between the ages of 36 and 70 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 46 year old man looking to meet women between the ages of 36 and 70 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 48 year old man looking to meet women between the ages of 25 and 48 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 48 year old man looking to meet women between the ages of 25 and 48 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 49 year old man looking to meet women between the ages of 41 and 50 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 49 year old man looking to meet women between the ages of 41 and 50 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 39 year old man looking to meet women between the ages of 30 and 42 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 39 year old man looking to meet women between the ages of 30 and 42 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 35 year old man looking to meet women between the ages of 25 and 40 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 35 year old man looking to meet women between the ages of 25 and 40 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 47 year old man looking to meet women between the ages of 25 and 47 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 47 year old man looking to meet women between the ages of 25 and 47 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 58 year old man looking to meet women between the ages of 35 and 55 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 58 year old man looking to meet women between the ages of 35 and 55 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 62 year old man looking to meet women between the ages of 50 and 65 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 62 year old man looking to meet women between the ages of 50 and 65 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 62 year old man looking to meet women between the ages of 40 and 62 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 62 year old man looking to meet women between the ages of 40 and 62 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 50 year old man looking to meet women between the ages of 39 and 64 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 50 year old man looking to meet women between the ages of 39 and 64 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 44 year old man looking to meet women between the ages of 32 and 45 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 44 year old man looking to meet women between the ages of 32 and 45 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 48 year old man looking to meet women between the ages of 35 and 45 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 48 year old man looking to meet women between the ages of 35 and 45 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 61 year old man looking to meet women between the ages of 49 and 60 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 61 year old man looking to meet women between the ages of 49 and 60 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 59 year old man looking to meet women between the ages of 45 and 57 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 59 year old man looking to meet women between the ages of 45 and 57 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 24 year old man looking to meet women between the ages of 18 and 24 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 24 year old man looking to meet women between the ages of 18 and 24 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 57 year old man looking to meet women between the ages of 35 and 48 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 57 year old man looking to meet women between the ages of 35 and 48 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 36 year old man looking to meet women between the ages of 28 and 42 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 36 year old man looking to meet women between the ages of 28 and 42 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 47 year old man looking to meet women between the ages of 40 and 45 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 47 year old man looking to meet women between the ages of 40 and 45 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 50 year old man looking to meet women between the ages of 30 and 48 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 50 year old man looking to meet women between the ages of 30 and 48 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 52 year old man looking to meet women between the ages of 45 and 60 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 52 year old man looking to meet women between the ages of 45 and 60 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 43 year old man looking to meet women between the ages of 33 and 41 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 43 year old man looking to meet women between the ages of 33 and 41 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 52 year old man looking to meet women between the ages of 37 and 55 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 52 year old man looking to meet women between the ages of 37 and 55 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 52 year old man looking to meet women between the ages of 40 and 52 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 52 year old man looking to meet women between the ages of 40 and 52 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 35 year old man looking to meet women between the ages of 28 and 35 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 35 year old man looking to meet women between the ages of 28 and 35 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 45 year old man looking to meet women between the ages of 34 and 44 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 45 year old man looking to meet women between the ages of 34 and 44 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 45 year old man looking to meet women between the ages of 35 and 47 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 45 year old man looking to meet women between the ages of 35 and 47 . 
old man looking,look.04,to meet men between,,Affirmative,I 'm a 30 year old man looking to meet men between the ages of 28 and 40 . 
old man looking,meet.01,men between,,Affirmative,I 'm a 30 year old man looking to meet men between the ages of 28 and 40 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 46 year old man looking to meet women between the ages of 38 and 52 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 46 year old man looking to meet women between the ages of 38 and 52 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 27 year old man looking to meet women between the ages of 21 and 35 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 27 year old man looking to meet women between the ages of 21 and 35 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 58 year old man looking to meet women between the ages of 35 and 55 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 58 year old man looking to meet women between the ages of 35 and 55 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 54 year old man looking to meet women between the ages of 49 and 60 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 54 year old man looking to meet women between the ages of 49 and 60 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 43 year old man looking to meet women between the ages of 27 and 36 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 43 year old man looking to meet women between the ages of 27 and 36 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 43 year old man looking to meet women between the ages of 18 and 45 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 43 year old man looking to meet women between the ages of 18 and 45 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 64 year old man looking to meet women between the ages of 48 and 64 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 64 year old man looking to meet women between the ages of 48 and 64 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 49 year old man looking to meet women between the ages of 40 and 50 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 49 year old man looking to meet women between the ages of 40 and 50 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 32 year old man looking to meet women between the ages of 24 and 30 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 32 year old man looking to meet women between the ages of 24 and 30 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 69 year old man looking to meet women between the ages of 55 and 65 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 69 year old man looking to meet women between the ages of 55 and 65 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 47 year old man looking to meet women between the ages of 28 and 38 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 47 year old man looking to meet women between the ages of 28 and 38 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 49 year old man looking to meet women between the ages of 30 and 55 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 49 year old man looking to meet women between the ages of 30 and 55 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 50 year old man looking to meet women between the ages of 35 and 55 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 50 year old man looking to meet women between the ages of 35 and 55 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 52 year old man looking to meet women between the ages of 48 and 53 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 52 year old man looking to meet women between the ages of 48 and 53 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 30 year old man looking to meet women between the ages of 25 and 33 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 30 year old man looking to meet women between the ages of 25 and 33 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 57 year old man looking to meet women between the ages of 42 and 55 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 57 year old man looking to meet women between the ages of 42 and 55 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 56 year old man looking to meet women between the ages of 44 and 56 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 56 year old man looking to meet women between the ages of 44 and 56 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 28 year old man looking to meet women between the ages of 18 and 45 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 28 year old man looking to meet women between the ages of 18 and 45 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 46 year old man looking to meet women between the ages of 25 and 45 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 46 year old man looking to meet women between the ages of 25 and 45 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 54 year old man looking to meet women between the ages of 35 and 60 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 54 year old man looking to meet women between the ages of 35 and 60 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 52 year old man looking to meet women between the ages of 46 and 65 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 52 year old man looking to meet women between the ages of 46 and 65 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 31 year old man looking to meet women between the ages of 21 and 32 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 31 year old man looking to meet women between the ages of 21 and 32 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 50 year old man looking to meet women between the ages of 35 and 52 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 50 year old man looking to meet women between the ages of 35 and 52 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 63 year old man looking to meet women between the ages of 50 and 60 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 63 year old man looking to meet women between the ages of 50 and 60 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 70 year old man looking to meet women between the ages of 55 and 65 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 70 year old man looking to meet women between the ages of 55 and 65 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 46 year old man looking to meet women between the ages of 30 and 50 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 46 year old man looking to meet women between the ages of 30 and 50 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 51 year old man looking to meet women between the ages of 38 and 48 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 51 year old man looking to meet women between the ages of 38 and 48 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 66 year old man looking to meet women between the ages of 18 and 100 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 66 year old man looking to meet women between the ages of 18 and 100 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 49 year old man looking to meet women between the ages of 40 and 55 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 49 year old man looking to meet women between the ages of 40 and 55 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 46 year old man looking to meet women between the ages of 25 and 45 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 46 year old man looking to meet women between the ages of 25 and 45 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 54 year old man looking to meet women between the ages of 49 and 76 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 54 year old man looking to meet women between the ages of 49 and 76 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 35 year old man looking to meet women between the ages of 26 and 35 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 35 year old man looking to meet women between the ages of 26 and 35 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 41 year old man looking to meet women between the ages of 30 and 45 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 41 year old man looking to meet women between the ages of 30 and 45 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 34 year old man looking to meet women between the ages of 25 and 29 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 34 year old man looking to meet women between the ages of 25 and 29 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 41 year old man looking to meet women between the ages of 30 and 45 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 41 year old man looking to meet women between the ages of 30 and 45 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 56 year old man looking to meet women between the ages of 48 and 62 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 56 year old man looking to meet women between the ages of 48 and 62 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 56 year old man looking to meet women between the ages of 50 and 72 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 56 year old man looking to meet women between the ages of 50 and 72 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 37 year old man looking to meet women between the ages of 28 and 35 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 37 year old man looking to meet women between the ages of 28 and 35 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 53 year old man looking to meet women between the ages of 48 and 58 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 53 year old man looking to meet women between the ages of 48 and 58 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 66 year old man looking to meet women between the ages of 55 and 65 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 66 year old man looking to meet women between the ages of 55 and 65 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 68 year old man looking to meet women between the ages of 53 and 60 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 68 year old man looking to meet women between the ages of 53 and 60 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 48 year old man looking to meet women between the ages of 25 and 45 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 48 year old man looking to meet women between the ages of 25 and 45 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 42 year old man looking to meet women between the ages of 30 and 45 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 42 year old man looking to meet women between the ages of 30 and 45 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 50 year old man looking to meet women between the ages of 40 and 55 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 50 year old man looking to meet women between the ages of 40 and 55 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 54 year old man looking to meet women between the ages of 25 and 45 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 54 year old man looking to meet women between the ages of 25 and 45 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 49 year old man looking to meet women between the ages of 37 and 46 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 49 year old man looking to meet women between the ages of 37 and 46 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 31 year old man looking to meet women between the ages of 25 and 35 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 31 year old man looking to meet women between the ages of 25 and 35 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 54 year old man looking to meet women between the ages of 45 and 60 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 54 year old man looking to meet women between the ages of 45 and 60 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 32 year old man looking to meet women between the ages of 24 and 34 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 32 year old man looking to meet women between the ages of 24 and 34 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 64 year old man looking to meet women between the ages of 45 and 60 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 64 year old man looking to meet women between the ages of 45 and 60 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 32 year old man looking to meet women between the ages of 24 and 40 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 32 year old man looking to meet women between the ages of 24 and 40 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 53 year old man looking to meet women between the ages of 35 and 48 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 53 year old man looking to meet women between the ages of 35 and 48 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 59 year old man looking to meet women between the ages of 38 and 55 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 59 year old man looking to meet women between the ages of 38 and 55 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 54 year old man looking to meet women between the ages of 22 and 54 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 54 year old man looking to meet women between the ages of 22 and 54 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 61 year old man looking to meet women between the ages of 39 and 59 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 61 year old man looking to meet women between the ages of 39 and 59 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 62 year old man looking to meet women between the ages of 49 and 55 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 62 year old man looking to meet women between the ages of 49 and 55 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 50 year old man looking to meet women between the ages of 35 and 48 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 50 year old man looking to meet women between the ages of 35 and 48 . 
old man looking,look.04,to meet men between,,Affirmative,I 'm a 41 year old man looking to meet men between the ages of 25 and 50 . 
old man looking,meet.01,men between,,Affirmative,I 'm a 41 year old man looking to meet men between the ages of 25 and 50 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 56 year old man looking to meet women between the ages of 45 and 55 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 56 year old man looking to meet women between the ages of 45 and 55 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 45 year old man looking to meet women between the ages of 32 and 45 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 45 year old man looking to meet women between the ages of 32 and 45 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 46 year old man looking to meet women between the ages of 30 and 50 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 46 year old man looking to meet women between the ages of 30 and 50 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 25 year old man looking to meet women between the ages of 18 and 30 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 25 year old man looking to meet women between the ages of 18 and 30 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 39 year old man looking to meet women between the ages of 20 and 40 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 39 year old man looking to meet women between the ages of 20 and 40 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 41 year old man looking to meet women between the ages of 23 and 35 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 41 year old man looking to meet women between the ages of 23 and 35 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 59 year old man looking to meet women between the ages of 45 and 63 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 59 year old man looking to meet women between the ages of 45 and 63 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 54 year old man looking to meet women between the ages of 40 and 54 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 54 year old man looking to meet women between the ages of 40 and 54 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 32 year old man looking to meet women between the ages of 18 and 100 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 32 year old man looking to meet women between the ages of 18 and 100 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 60 year old man looking to meet women between the ages of 48 and 58 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 60 year old man looking to meet women between the ages of 48 and 58 . 
old man looking,look.04,to meet women between,,Affirmative,I 'm a 41 year old man looking to meet women between the ages of 25 and 40 . 
old man looking,meet.01,women between,,Affirmative,I 'm a 41 year old man looking to meet women between the ages of 25 and 40 . 
in,contain.01,works contained in,,Affirmative,"The copyright in the literary and artistic works contained in this online news publication and its other related and connected websites , as well as in the published editions of group newspapers , their supplements and any other content or material , belongs exclusively to Independent Newspapers ( Pty ) Limited unless otherwise stated . "
The copyright in,belong.01,to,,Affirmative,"The copyright in the literary and artistic works contained in this online news publication and its other related and connected websites , as well as in the published editions of group newspapers , their supplements and any other content or material , belongs exclusively to Independent Newspapers ( Pty ) Limited unless otherwise stated . "
